,country,average_hourly_rate
93,Jordan,28.48716603399973
94,Kazakhstan,28.91507698430505
95,Kenya,31.860414773491684
96,Kiribati,24.827563449670148
97,Kuwait,29.005921361247843
98,Kyrgyzstan,29.342759028829672
99,Laos,156.62132624651986
100,Latvia,30.3627289831572
101,Lebanon,27.605970165132124
102,Liechtenstein,28.78076867114584
103,Lithuania,29.470311289717056
104,Luxembourg,27.322598294624537
105,Macao,22.686751266226864
106,Macedonia,29.201962664615095
107,Madagascar,25.302929656765883
108,Malawi,46.84695431208768
109,Malaysia,40.56682122660248
110,Maldives,29.655126899340296
111,Mali,26.077563449670148
112,Malta,29.121725795770015
113,Martinique,29.655126899340296
114,Mauritania,28.04593908278358
115,Mauritius,26.210793023828728
116,Mexico,27.517447604619512
117,"Micronesia, Federated States of",33.57756344967015
118,Moldova,28.383296734238005
119,Monaco,28.082734346314826
120,Mongolia,23.51205075973612
121,Montenegro,26.610385220127565
122,Morocco,28.928936944310262
123,Mozambique,27.15759970662452
124,Myanmar,32.43896507601115
125,Namibia,22.451398245274625
126,Nepal,27.52280230740427
127,Netherlands,27.69911930387778
128,Netherlands Antilles,29.655126899340292
129,New Caledonia,29.655126899340296
130,New Zealand,26.960640076704912
131,Nicaragua,27.60341793289353
132,Nigeria,28.590220972611185
133,Niue,29.655126899340296
134,Northern Mariana Islands,27.327563449670148
135,Norway,29.71291389332655
136,Oman,29.608787608217604
137,Pakistan,28.849270094648123
138,Palestinian Territories,29.830853850195304
139,Panama,26.460403694085542
140,Papua New Guinea,22.522160985620044
141,Paraguay,29.46735254037608
142,Peru,25.156814542339667
143,Philippines,32.31539013120935
144,Poland,28.575464046078082
145,Portugal,28.42695292436349
146,Puerto Rico,28.350009067976742
147,Qatar,27.38808245564845
148,Reunion,26.56983702579497
149,Romania,27.869019186477132
150,Russia,27.866345174505224
151,Rwanda,29.30222989419824
152,Saint Helena,29.655126899340296
153,Saint Kitts and Nevis,24.952563449670148
154,Saint Lucia,21.887102885679845
155,Saint Vincent and the Grenadines,28.92884517450522
156,San Marino,29.50965418373591
157,Saudi Arabia,29.736691832730834
158,Senegal,29.843239499700132
159,Serbia,27.98605405385513
160,Seychelles,22.919807104703132
161,Sierra Leone,29.655126899340296
162,Singapore,28.08454084044617
163,Sint Maarten (Dutch part),23.78076867114584
164,Slovakia,29.029121794512076
165,Slovenia,26.86649761070178
166,Somalia,25.006134878241575
167,South Africa,28.814017953759453
168,South Korea,21.586786640731578
169,Spain,27.935764623595244
170,Sri Lanka,27.529506924877644
171,Suriname,29.655126899340296
172,Swaziland,25.577563449670148
173,Sweden,29.564308229334703
174,Switzerland,27.983868155164362
175,Taiwan,24.843001266226864
176,Tajikistan,29.655126899340296
177,Tanzania,29.399649281278425
178,Thailand,38.50507389846012
179,Timor-Leste,25.0
180,Togo,27.962605749450248
181,Trinidad and Tobago,27.28472515288457
182,Tunisia,27.716693409258898
183,Turkey,28.65394503423475
184,Turkmenistan,29.655126899340296
185,Turks and Caicos Islands,52.333333333333336
186,Tuvalu,29.655126899340296
187,Uganda,29.86378144482181
188,Ukraine,29.832308788702555
189,United Arab Emirates,28.757861040693857
190,United Kingdom,29.966045057450895
191,United States,31.037872992380752
192,United States Minor Outlying Islands,22.327563449670148
193,United States Virgin Islands,22.601281724835076
194,Uruguay,29.35198761853329
195,Uzbekistan,25.669019840250417
196,Vanuatu,6.5
197,Venezuela,25.15211916255234
198,Vietnam,28.47448904236166
199,Yemen,28.554338145595636
200,Zambia,34.80070385774653
201,Zimbabwe,27.085670346631957
